"","age","c_charge_degree","race","age_cat","v_score_text","sex","priors_count","days_b_screening_arrest","v_decile_score","is_recid","two_year_recid"
"82",22,"F","African-American","Less than 25","Low","Male",1,-1,4,0,0
"83",31,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0
"84",23,"F","Hispanic","Less than 25","Medium","Male",0,-1,5,0,0
"85",32,"F","African-American","25 - 45","Low","Female",5,-1,3,0,0
"86",52,"M","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0
"87",62,"F","African-American","Greater than 45","Low","Male",8,0,1,0,0
"88",28,"M","African-American","25 - 45","Medium","Male",6,-1,6,1,1
"89",54,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0
"90",58,"F","Hispanic","Greater than 45","Low","Male",0,-1,1,0,0
"91",56,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0
"92",24,"F","Other","Less than 25","Low","Male",0,-1,4,0,0
"93",57,"F","Hispanic","Greater than 45","Low","Male",1,0,1,0,0
"94",66,"F","African-American","Greater than 45","Low","Male",3,-10,1,1,0
"95",37,"M","African-American","25 - 45","High","Male",2,0,8,1,1
"96",45,"F","Caucasian","Greater than 45","Low","Male",2,-1,4,0,0
"97",23,"F","African-American","Less than 25","Low","Male",0,-1,4,1,1
"98",34,"M","African-American","25 - 45","Low","Male",2,0,1,1,0
"99",23,"M","African-American","Less than 25","Low","Female",1,-1,4,0,0
"100",50,"F","Caucasian","Greater than 45","Low","Male",1,-4,1,0,0
"101",37,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0
"102",44,"M","Caucasian","25 - 45","Low","Male",4,0,4,0,0
"103",27,"M","African-American","25 - 45","Low","Male",0,-1,3,0,0
"104",28,"F","African-American","25 - 45","Medium","Female",0,0,6,0,0
"105",38,"F","African-American","25 - 45","Low","Male",2,-1,1,0,0
"106",28,"F","African-American","25 - 45","Medium","Female",1,-1,7,0,0
"107",38,"F","African-American","25 - 45","Low","Male",15,-1,3,0,0
"108",28,"M","African-American","25 - 45","Low","Male",2,-1,4,0,0
"109",51,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,1,1
"110",51,"M","Caucasian","Greater than 45","Low","Male",0,-1,2,0,0
"111",48,"F","African-American","Greater than 45","Low","Male",0,-1,1,0,0
"112",30,"F","African-American","25 - 45","Low","Female",2,-1,4,0,0
"113",41,"M","African-American","25 - 45","Low","Female",5,0,3,0,0
"114",37,"M","African-American","25 - 45","Low","Male",0,-1,1,1,0
"115",54,"F","African-American","Greater than 45","High","Male",11,-1,9,0,0
"116",23,"F","African-American","Less than 25","Medium","Male",2,-1,5,0,0
"117",41,"M","African-American","25 - 45","Low","Male",0,0,1,0,0
"118",52,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0
"119",52,"F","African-American","Greater than 45","Low","Male",0,-1,3,0,0
"120",28,"F","Caucasian","25 - 45","Low","Male",1,-3,2,0,0
"121",30,"M","African-American","25 - 45","Low","Male",11,-1,4,1,1
"122",28,"F","Caucasian","25 - 45","Low","Male",1,0,3,0,0
"123",22,"F","African-American","Less than 25","Medium","Male",0,-1,6,0,0
"124",30,"F","African-American","25 - 45","Low","Male",4,0,2,0,0
"125",25,"F","Hispanic","25 - 45","Low","Male",4,0,4,0,0
"126",32,"F","African-American","25 - 45","High","Male",14,-1,8,0,0
"127",53,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0
"128",25,"F","African-American","25 - 45","Low","Male",0,0,4,0,0
"129",37,"M","Other","25 - 45","Low","Female",0,-1,1,0,0
"130",40,"F","Other","25 - 45","Low","Female",3,-1,1,0,0
"131",31,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0
"132",24,"M","Hispanic","Less than 25","Medium","Male",0,-3,7,0,0
"133",29,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0
"134",20,"F","African-American","Less than 25","Medium","Male",1,-1,7,1,1
"135",39,"F","Other","25 - 45","Low","Male",0,-1,1,0,0
"136",27,"F","African-American","25 - 45","Low","Male",4,-1,4,0,0
"137",37,"F","African-American","25 - 45","Low","Female",2,0,1,0,0
"138",20,"F","African-American","Less than 25","Medium","Male",0,-1,6,0,0
"139",22,"F","Hispanic","Less than 25","Medium","Male",0,0,6,0,0
"140",52,"F","African-American","Greater than 45","Low","Female",0,-1,1,0,0
"141",48,"F","African-American","Greater than 45","Low","Female",0,-1,3,0,0
"142",25,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0
"143",27,"F","Caucasian","25 - 45","Medium","Male",0,-1,7,1,1
"144",22,"F","Caucasian","Less than 25","Low","Female",1,-1,4,0,0
"145",41,"M","African-American","25 - 45","Low","Female",2,-1,1,0,0
"146",25,"F","Other","25 - 45","Low","Female",0,-1,3,0,0
"147",43,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"148",37,"F","Caucasian","25 - 45","Low","Male",3,-4,1,0,0
"149",70,"M","Caucasian","Greater than 45","Low","Male",1,-13,1,0,0
"150",46,"F","Caucasian","Greater than 45","Low","Male",3,-1,2,0,0
"151",26,"M","African-American","25 - 45","Medium","Male",1,-1,6,1,1
"152",34,"M","Caucasian","25 - 45","Low","Male",5,-1,4,0,0
"153",34,"M","African-American","25 - 45","Low","Male",5,-1,4,0,0
"154",24,"F","Other","Less than 25","Medium","Male",0,-1,5,0,0
"155",58,"F","Caucasian","Greater than 45","Low","Male",2,-1,1,0,0
"156",21,"M","African-American","Less than 25","Medium","Female",0,0,7,0,0
"157",62,"F","Caucasian","Greater than 45","Low","Male",0,0,1,0,0
"158",37,"F","Caucasian","25 - 45","Low","Male",5,-1,1,0,0
"159",32,"F","African-American","25 - 45","Low","Female",5,0,1,0,0
"160",23,"F","Hispanic","Less than 25","Medium","Male",0,-1,5,0,0
"161",27,"M","African-American","25 - 45","Low","Male",0,0,2,0,0
"162",42,"F","Caucasian","25 - 45","Low","Female",0,-3,1,0,0
"163",24,"F","Other","Less than 25","High","Male",9,-1,10,1,1
"164",27,"F","African-American","25 - 45","Low","Male",0,0,3,0,0
"165",51,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0
"166",56,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0
"167",29,"F","African-American","25 - 45","Medium","Male",7,-1,6,0,0
"168",27,"F","Caucasian","25 - 45","Low","Male",8,-1,3,0,0
"169",24,"F","African-American","Less than 25","High","Male",2,-1,9,1,1
"170",28,"M","Caucasian","25 - 45","Low","Male",2,0,4,1,1
"171",21,"F","Hispanic","Less than 25","Medium","Male",3,-22,6,1,0
"172",36,"F","African-American","25 - 45","Medium","Female",0,-1,5,0,0
"173",23,"M","Hispanic","Less than 25","Low","Female",1,0,4,1,0
"174",28,"F","Caucasian","25 - 45","Low","Male",1,-4,3,0,0
"175",36,"M","Caucasian","25 - 45","Low","Male",0,-1,3,0,0
"176",24,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0
"177",29,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0
"178",30,"M","Caucasian","25 - 45","Low","Female",0,0,2,0,0
"179",51,"M","Hispanic","Greater than 45","Low","Male",1,-1,1,0,0
"180",32,"F","African-American","25 - 45","Medium","Male",12,-1,7,1,1
"181",23,"F","African-American","Less than 25","Medium","Male",1,0,5,0,0
"182",47,"F","African-American","Greater than 45","Low","Male",3,0,2,0,0
"183",37,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,0
"184",27,"M","Hispanic","25 - 45","Medium","Male",0,-1,6,0,0
"185",39,"M","Other","25 - 45","Low","Male",0,-1,1,0,0
"186",21,"F","Caucasian","Less than 25","High","Female",0,0,8,0,0
"187",69,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0
"188",21,"F","Caucasian","Less than 25","Medium","Male",2,-1,6,0,0
"189",22,"F","Caucasian","Less than 25","Medium","Male",0,-2,5,0,0
"190",49,"F","African-American","Greater than 45","Low","Male",3,0,4,0,0
"191",29,"M","African-American","25 - 45","Low","Male",2,-1,3,1,0
"192",60,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0
"193",20,"F","Other","Less than 25","Medium","Female",1,-21,7,0,0
"194",36,"F","Hispanic","25 - 45","Low","Male",1,0,2,0,0
"195",30,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,0
"196",21,"F","African-American","Less than 25","Medium","Male",1,-1,6,1,0
"197",34,"M","Caucasian","25 - 45","Low","Male",1,0,1,0,0
"198",53,"M","Caucasian","Greater than 45","Low","Female",1,-1,1,0,0
"199",24,"F","African-American","Less than 25","Low","Female",0,-1,4,0,0
"200",42,"F","African-American","25 - 45","Low","Male",1,-12,1,0,0
"201",28,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0
"202",22,"F","African-American","Less than 25","High","Male",4,-1,9,1,1
"203",21,"M","Caucasian","Less than 25","High","Male",3,-8,8,0,0
"204",35,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0
"205",53,"F","African-American","Greater than 45","Low","Male",2,-1,1,0,0
"206",29,"F","African-American","25 - 45","Low","Male",7,-1,3,1,0
"207",48,"F","Caucasian","Greater than 45","Medium","Male",23,-1,5,1,1
"208",52,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0
"209",28,"F","African-American","25 - 45","Medium","Male",5,0,6,1,0
"210",33,"M","Caucasian","25 - 45","Low","Male",3,0,1,0,0
"211",28,"F","Hispanic","25 - 45","Low","Female",0,-1,2,0,0
"212",29,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0
"213",25,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,0
"214",56,"F","African-American","Greater than 45","Low","Male",5,-1,3,0,0
"215",27,"F","African-American","25 - 45","High","Male",9,-1,8,1,1
"216",32,"F","African-American","25 - 45","Low","Male",3,0,2,0,0
"217",60,"F","Other","Greater than 45","Low","Male",4,-1,1,0,0
"218",23,"M","Hispanic","Less than 25","Low","Male",1,-5,4,0,0
"219",39,"M","Caucasian","25 - 45","Low","Female",0,-2,2,0,0
"220",56,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0
"221",22,"F","African-American","Less than 25","High","Female",0,0,8,0,0
"222",53,"F","African-American","Greater than 45","Low","Male",11,-1,3,0,0
"223",21,"M","Hispanic","Less than 25","Medium","Male",0,0,6,0,0
"224",22,"F","Caucasian","Less than 25","Medium","Male",0,-1,5,0,0
"225",58,"M","Caucasian","Greater than 45","Low","Female",2,-23,1,0,0
"226",42,"F","Other","25 - 45","Low","Male",1,-1,1,0,0
"227",29,"M","Caucasian","25 - 45","Low","Male",0,0,4,1,1
"228",22,"F","African-American","Less than 25","Medium","Male",3,-1,6,0,0
"229",37,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,0
"230",27,"M","Caucasian","25 - 45","Low","Male",3,-22,1,0,0
"231",26,"F","African-American","25 - 45","Low","Male",3,0,3,0,0
"232",33,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0
"233",29,"F","African-American","25 - 45","Low","Male",2,-1,3,0,0
"234",36,"M","Caucasian","25 - 45","Low","Male",2,-1,1,0,0
"235",24,"F","Caucasian","Less than 25","Medium","Female",0,0,5,0,0
"236",34,"M","Caucasian","25 - 45","Low","Male",0,0,1,0,0
"237",25,"F","Hispanic","25 - 45","Low","Male",2,-1,3,1,1
"238",24,"M","African-American","Less than 25","Low","Male",1,-1,4,1,1
"239",61,"F","Caucasian","Greater than 45","Low","Male",4,-1,1,0,0
"240",50,"F","African-American","Greater than 45","Low","Female",3,0,1,0,0
"241",30,"M","African-American","25 - 45","Low","Male",1,0,2,0,0
"242",38,"F","African-American","25 - 45","Low","Male",5,-1,2,0,0
"243",24,"M","Caucasian","Less than 25","Low","Male",0,-1,2,0,0
"244",20,"F","Other","Less than 25","Medium","Male",0,-1,6,1,1
"245",27,"M","African-American","25 - 45","High","Male",13,-1,9,1,1
"246",28,"F","Caucasian","25 - 45","Low","Male",1,0,3,1,1
"247",26,"F","African-American","25 - 45","Medium","Male",10,-1,6,1,1
"248",28,"F","African-American","25 - 45","High","Male",5,-1,10,0,0
"249",63,"F","Caucasian","Greater than 45","Low","Male",2,-3,1,0,0
"250",42,"F","African-American","25 - 45","Low","Male",0,0,1,0,0
"251",23,"F","African-American","Less than 25","Medium","Male",6,-1,6,1,0
"252",54,"M","African-American","Greater than 45","Low","Male",2,-26,1,0,0
"253",35,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0
"254",20,"F","African-American","Less than 25","High","Male",1,0,10,1,1
"255",51,"F","Caucasian","Greater than 45","Low","Male",0,0,1,0,0
"256",24,"F","Hispanic","Less than 25","Medium","Male",0,0,7,0,0
"257",37,"F","Caucasian","25 - 45","Low","Male",3,-14,1,0,0
"258",47,"F","Caucasian","Greater than 45","Low","Male",3,-1,1,0,0
"259",56,"F","Caucasian","Greater than 45","Low","Male",0,-2,1,0,0
"260",35,"F","Asian","25 - 45","Low","Male",0,-1,4,0,0
"261",58,"F","Hispanic","Greater than 45","Low","Male",1,-11,1,0,0
"262",29,"M","Hispanic","25 - 45","Low","Male",2,-26,2,0,0
"263",24,"F","Caucasian","Less than 25","Low","Female",6,0,4,1,1
"264",21,"M","Caucasian","Less than 25","High","Male",2,-1,9,1,1
"265",26,"F","African-American","25 - 45","Low","Male",1,-1,3,0,0
"266",30,"M","Caucasian","25 - 45","Low","Female",0,-1,2,0,0
"267",29,"M","Caucasian","25 - 45","Low","Male",0,0,4,1,1
"268",54,"M","African-American","Greater than 45","Low","Male",0,-1,1,0,0
"269",29,"F","African-American","25 - 45","Low","Male",4,-1,4,1,1
"270",59,"M","Caucasian","Greater than 45","Low","Female",0,-2,1,0,0
"271",38,"F","African-American","25 - 45","Low","Male",0,0,1,0,0
"272",52,"F","Hispanic","Greater than 45","Low","Male",20,-1,1,0,0
"273",27,"F","Caucasian","25 - 45","Low","Male",2,0,4,0,0
"274",51,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0
"275",35,"F","Caucasian","25 - 45","Low","Male",1,0,3,0,0
"276",52,"M","Caucasian","Greater than 45","Low","Male",4,-1,2,0,0
"277",48,"F","Other","Greater than 45","Low","Male",12,0,4,0,0
"278",26,"M","African-American","25 - 45","Low","Female",0,-1,2,0,0
"279",48,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0
"280",30,"M","Hispanic","25 - 45","Medium","Male",7,-1,5,0,0
"281",28,"M","Other","25 - 45","Low","Male",2,-1,2,0,0
"282",33,"M","African-American","25 - 45","Low","Male",2,0,3,0,0
"283",34,"F","African-American","25 - 45","Low","Female",6,-1,2,0,0
"284",25,"M","Other","25 - 45","Low","Male",0,0,2,0,0
"285",24,"F","Caucasian","Less than 25","Low","Male",0,0,3,0,0
"286",52,"M","African-American","Greater than 45","Low","Male",4,0,3,0,0
"287",24,"F","Caucasian","Less than 25","Low","Male",0,-1,3,0,0
"288",23,"M","Caucasian","Less than 25","Medium","Male",0,-1,6,0,0
"289",27,"F","Caucasian","25 - 45","Low","Male",6,-1,3,1,0
"290",31,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"291",32,"F","Caucasian","25 - 45","Low","Male",1,-7,2,1,1
"292",37,"F","Other","25 - 45","Low","Male",1,-1,1,0,0
"293",25,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0
"294",32,"F","Hispanic","25 - 45","Medium","Male",20,0,7,0,0
"295",35,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0
"296",24,"M","Caucasian","Less than 25","High","Male",9,-23,8,1,1
"297",47,"M","Caucasian","Greater than 45","Low","Male",1,0,1,0,0
"298",44,"M","African-American","25 - 45","Low","Male",1,0,1,0,0
"299",23,"F","Caucasian","Less than 25","Low","Male",2,-1,3,0,0
"300",42,"F","African-American","25 - 45","Low","Male",8,-1,2,0,0
"301",58,"F","African-American","Greater than 45","Low","Male",6,-1,3,0,0
"302",26,"F","African-American","25 - 45","Low","Male",3,-1,4,1,0
"303",48,"F","Other","Greater than 45","Low","Female",0,-1,1,0,0
"304",21,"F","African-American","Less than 25","Medium","Male",3,0,6,1,1
"305",63,"M","Caucasian","Greater than 45","Low","Male",1,-9,1,0,0
"306",22,"F","African-American","Less than 25","Medium","Male",3,-11,7,1,1
"307",50,"M","African-American","Greater than 45","Low","Male",3,-1,2,0,0
"308",38,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"309",41,"F","Caucasian","25 - 45","Low","Male",1,-6,4,0,0
"310",28,"F","African-American","25 - 45","High","Male",16,-1,9,1,1
"311",30,"M","African-American","25 - 45","Low","Female",0,0,3,0,0
"312",23,"F","African-American","Less than 25","Medium","Male",1,0,7,0,0
"313",40,"F","Caucasian","25 - 45","Low","Male",5,0,1,0,0
"314",24,"F","Hispanic","Less than 25","Low","Male",8,0,4,0,0
"315",44,"M","Caucasian","25 - 45","Medium","Male",11,0,6,0,0
"316",35,"F","African-American","25 - 45","Low","Female",6,-1,1,1,1
"317",42,"M","Caucasian","25 - 45","Low","Male",0,0,1,0,0
"318",38,"F","African-American","25 - 45","Medium","Male",15,0,5,1,0
"319",26,"F","Hispanic","25 - 45","Medium","Male",4,0,6,0,0
"320",25,"M","African-American","25 - 45","Low","Female",0,-1,3,0,0
"321",64,"F","Hispanic","Greater than 45","Low","Male",1,-8,1,0,0
"322",46,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0
"323",30,"F","African-American","25 - 45","Medium","Male",5,-1,6,1,1
"324",22,"M","Caucasian","Less than 25","Low","Female",0,0,4,0,0
"325",23,"M","Caucasian","Less than 25","Medium","Male",1,-1,6,0,0
"326",31,"M","Hispanic","25 - 45","Low","Male",0,-1,2,0,0
"327",31,"F","Other","25 - 45","Low","Male",1,-1,2,0,0
"328",25,"M","African-American","25 - 45","Low","Male",0,-1,4,1,0
"329",21,"F","Caucasian","Less than 25","Medium","Female",0,-1,5,0,0
"330",27,"M","African-American","25 - 45","Low","Male",0,-1,3,0,0
"331",32,"F","Hispanic","25 - 45","Low","Male",1,-27,1,0,0
"332",24,"F","Caucasian","Less than 25","Medium","Female",0,0,5,0,0
"333",20,"F","African-American","Less than 25","Medium","Male",1,-1,6,0,0
"334",27,"M","African-American","25 - 45","High","Male",3,-1,8,1,1
"335",40,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"336",22,"F","African-American","Less than 25","High","Male",11,0,8,1,1
"337",38,"F","African-American","25 - 45","Low","Female",1,-1,1,0,0
"338",30,"M","African-American","25 - 45","Low","Male",1,0,4,0,0
"339",27,"F","Caucasian","25 - 45","Low","Male",6,-1,4,1,1
"340",59,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0
"341",37,"M","Caucasian","25 - 45","Low","Male",2,-2,1,0,0
"342",38,"F","Caucasian","25 - 45","Low","Male",0,0,1,0,0
"343",25,"F","African-American","25 - 45","Low","Male",4,-1,4,1,1
"344",51,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0
"345",28,"F","African-American","25 - 45","Low","Male",10,0,2,0,0
"346",23,"F","Caucasian","Less than 25","High","Female",3,-1,9,0,0
"347",22,"M","African-American","Less than 25","Medium","Female",0,-1,6,0,0
"348",31,"M","African-American","25 - 45","Low","Male",1,-27,1,0,0
"349",29,"M","African-American","25 - 45","Low","Male",0,0,1,0,0
"350",31,"M","Hispanic","25 - 45","Low","Male",0,0,2,0,0
"351",27,"M","Caucasian","25 - 45","Medium","Male",5,0,7,0,0
"352",25,"F","Caucasian","25 - 45","Low","Male",1,-1,3,0,0
"353",38,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"354",22,"F","Other","Less than 25","Medium","Male",0,-1,7,0,0
"355",58,"F","African-American","Greater than 45","Low","Female",4,-14,1,1,1
"356",21,"F","African-American","Less than 25","Medium","Male",0,-1,5,0,0
"357",22,"F","African-American","Less than 25","Medium","Female",0,-1,6,0,0
"358",30,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0
"359",31,"F","African-American","25 - 45","Low","Female",10,-1,2,0,0
"360",45,"F","Caucasian","Greater than 45","Low","Female",1,0,4,0,0
"361",27,"F","African-American","25 - 45","Low","Male",13,-1,3,1,1
"362",38,"F","Caucasian","25 - 45","Low","Male",1,-1,1,1,1
"363",47,"F","African-American","Greater than 45","Medium","Male",20,-1,5,0,0
"364",22,"F","African-American","Less than 25","Medium","Male",3,-1,7,0,0
"365",35,"M","African-American","25 - 45","Low","Male",1,-1,3,1,1
"366",65,"M","African-American","Greater than 45","Low","Male",2,-18,1,1,1
"367",35,"M","African-American","25 - 45","Low","Male",0,-1,3,0,0
"368",33,"F","African-American","25 - 45","Low","Female",0,-1,2,0,0
"369",53,"M","Caucasian","Greater than 45","Low","Male",1,-10,1,0,0
"370",52,"F","Hispanic","Greater than 45","Low","Male",0,-1,1,0,0
"371",21,"F","African-American","Less than 25","Medium","Male",0,-1,7,0,0
"372",37,"F","African-American","25 - 45","Low","Male",11,-1,2,0,0
"373",30,"M","Other","25 - 45","High","Male",4,-1,8,1,1
"374",54,"F","Other","Greater than 45","Low","Male",0,0,1,0,0
"375",31,"M","African-American","25 - 45","Low","Female",0,0,1,0,0
"376",59,"F","Caucasian","Greater than 45","Low","Female",2,26,1,0,0
"377",27,"M","African-American","25 - 45","Low","Male",0,-1,2,0,0
"378",36,"M","African-American","25 - 45","Low","Male",0,-1,2,1,1
"379",22,"F","African-American","Less than 25","High","Male",3,0,8,0,0
"380",28,"M","Caucasian","25 - 45","Low","Female",0,-1,2,0,0
"381",23,"M","African-American","Less than 25","High","Male",2,0,9,1,1
"382",27,"F","African-American","25 - 45","Low","Male",3,-1,3,0,0
"383",21,"F","Asian","Less than 25","Medium","Male",0,-1,6,1,1
"384",31,"F","African-American","25 - 45","Low","Male",5,-1,4,0,0
"385",36,"M","African-American","25 - 45","Low","Male",4,-1,2,0,0
"386",53,"F","Caucasian","Greater than 45","Low","Male",2,-2,1,0,0
